Code,German idioms,Literal translation,Meaning,Ambiguity,Valence M,Valence SD,Arousal M,Arousal SD,Familiar M,Familiar SD,Transparency M,Transparency SD,Figurative M,Figurative SD,Concreteness M,Concreteness SD,Knowledge of the idiomatic meaning ,Confidence M,Confidence SD,Length in letters,Length in words
025,jemanden auf frischer Tat ertappen,"to catch someone in the ""fresh"" act (of doing something)",to find out someone is guilty while he is still committing the forbidden action; to catch someone red-handed; to catch someone in the act of doing something,U,-0.38,1.58,4.81,1.68,5.73,1.48,5.74,1.79,3.06,1.68,3.74,2.41,97,6.73,0.58,30,5
026,eine Durststrecke haben,to have a line/stretch of thirst (to be very thirsty),to go through a difficult time; to have a difficult phase,U,-1.48,0.85,3.23,1.89,4.69,1.79,4.50,2.05,4.77,1.61,2.83,2.13,85,6.19,1.42,21,3
027,wie aus dem Ei gepellt sein,"to be peeled as ""just come out of the egg""",to be clean and spotless; to be well-dressed,U,1.43,0.90,3.16,1.92,4.13,1.89,4.34,1.84,5.47,1.48,3.00,1.97,100,6.77,0.50,22,6
028,sein Fett wegkriegen,to get one's fat away/to be deprived of one's fat,to be criticised for something bad; either something bad one has done or some bad characteristics one has,U(A),-1.48,1.06,4.32,1.78,4.86,2.00,2.81,2.17,5.56,1.27,2.81,1.92,96,6.54,0.86,18,3
029,einer Sache eine gewisse Würze verleihen,to award/give something a certain flavour,to make something become interesting; to render something interesting,A,1.16,0.93,3.52,1.67,4.03,1.78,4.23,1.91,4.69,1.67,3.97,2.17,84,6.32,1.17,35,6
030,immer alles schwarz sehen,to always see everything black,to be very pessimistic,U,-2.13,0.81,4.13,1.82,5.27,1.44,4.81,1.96,4.84,1.71,3.71,2.37,100,2.54,2.26,22,4
031,etwas aus dem Ärmel schütteln,to shake something out of the sleeve,to come up with something just like that/very easily; to improvise,A,0.68,0.87,2.97,1.73,5.03,1.86,4.10,2.21,5.25,1.46,3.62,2.21,79,6.39,1.31,25,5
032,sich in den Arsch beißen,to bite oneself in the ass/back,to get annoyed at oneself/to get angry at oneself,U,-1.55,0.89,4.48,1.74,5.31,1.81,3.29,2.19,5.06,1.88,3.43,2.24,93,6.66,0.90,20,5
033a,sich ins eigene Fleisch schneiden,to cut oneself in one's own flesh,to create problems to oneself; to cause oneself a problem,A,-1.74,0.86,4.74,1.59,5.23,1.77,4.93,2.13,4.41,1.92,4.86,2.41,100,6.14,1.65,29,5
033b,sich ins Knie schießen,to shoot oneself in the knee,to create problems to onerself; to cause oneself a problem; to damage oneself,A,-2.03,0.81,4.55,1.38,4.37,1.80,3.48,2.03,5.00,1.83,3.50,2.25,90,6.23,1.56,19,4
034,sich in den Hintern treten,to kick one's own ass,to repent something; to regret something,U,-0.84,1.32,4.43,1.61,4.83,2.09,4.13,2.13,4.75,1.74,3.87,2.43,60,5.69,1.83,22,5
035,wie die Faust aufs Auge passen,to fit as the fist fits the eye,to fit together perfectly,U,1.52,0.85,3.55,1.89,5.34,1.88,4.16,2.21,5.19,1.65,3.86,2.13,89,5.54,2.04,25,6
036,nur Bahnhof verstehen,"to undestand only ""station""",to understand nothing; not to know what is meant/what someone means,U,-1.10,0.87,3.27,1.84,5.50,1.61,2.26,2.00,5.84,1.30,2.29,1.79,100,5.73,1.71,19,3
037,Das ist Banane!,that's banana,that's ridiculous/nonsense/crazy,U,-0.57,1.00,3.03,1.94,3.86,2.10,1.83,1.73,5.14,1.86,2.00,1.73,71,5.44,1.97,13,3
038,stark wie ein Bär sein,to be as strong as a bear,to be very strong,U,2.13,0.81,3.94,2.11,4.32,1.70,6.22,1.81,3.45,1.95,4.33,2.32,97,6.21,1.59,18,5
039,sich kein Bein ausreißen,to not pull out a leg,to not strain oneself but also to not put enough effort,U,-0.91,0.96,3.13,1.83,5.00,1.68,3.38,2.01,4.94,1.74,3.76,2.36,93,5.76,1.75,21,4
040,wieder auf die Beine kommen,to get back (again) onto one's legs,"to get better again, to recover (not only from illness)",A,1.58,1.12,3.27,1.53,5.27,1.48,5.22,1.95,3.56,1.48,4.10,2.19,100,5.46,1.93,23,5
041,bekannt wie ein bunter Hund sein,to be as known as a coloured/painted dog,to be very well known/known all-over,U,0.57,0.97,3.68,1.87,4.83,1.67,4.07,2.26,4.88,1.79,3.03,2.03,93,6.56,1.05,27,6
042,mit etwas hinterm Berg halten,to keep something behind the mountain ,to keep something secret,U,-0.76,0.79,2.90,1.56,4.54,1.93,3.29,2.05,5.26,1.50,2.48,1.50,96,6.63,0.72,25,5
043,über alle Berge sein,to be over all mountains/hills,"to be miles away, no longer reachable, e.g., when something gets stolen",U,-0.26,1.24,3.55,1.89,5.13,1.74,4.26,2.02,4.47,1.74,2.63,1.87,87,6.61,0.76,17,4
044,über dem Berg sein,to be over the mountain/hill,"to have overcome something/the worse, to have recovered or to be on the way to recovery; to be healthy again",A,1.52,1.06,3.87,1.93,5.47,1.50,3.90,2.01,5.06,1.61,3.18,2.14,100,5.00,2.10,15,4
045,das Bett hüten müssen,to have to watch/guard the bed,to have to stay in bed (because of illness),U,-1.25,0.92,3.03,1.91,4.57,1.83,5.19,1.80,3.78,1.66,3.77,2.35,93,6.24,1.24,18,4
046a,blass vor Neid sein,to be pale with envy, to get very envious,U,-1.55,0.85,4.26,1.84,4.80,1.71,4.94,1.79,4.38,1.54,4.45,2.17,100,6.61,0.96,16,4
046b,jemanden vor Neid erblassen lassen,to let someone turn pale of envy,to make someone very envious,U,-0.52,1.43,4.19,1.58,4.93,1.67,5.00,2.08,4.39,1.80,3.87,2.33,85,6.55,0.78,30,5
047,kein unbeschriebenes Blatt sein,not to be an undescribed sheet,to be famous for some negative reason; to have already gained experience,U,-0.94,1.29,3.74,1.86,5.03,1.61,3.74,2.11,4.65,1.74,2.16,1.92,93,6.35,1.16,28,4
048,blau machen,to make blue,skip work; fake illness; avoid work/school,U,-0.87,1.06,2.94,1.79,5.59,1.45,2.47,2.27,5.47,1.61,1.97,1.64,93,6.79,0.56,10,2
049,den Bock zum Gärtner machen,to make the goat/buck be the a gardner,to ask the wrong person to do something,U,-1.38,0.92,3.50,1.69,3.40,1.91,2.80,2.37,5.79,1.77,2.24,1.99,42,5.60,2.12,23,5
050,keinen Bock auf etwas haben,to have no (goat) buck for something,not to fancy doing something,U,-0.97,0.95,3.48,1.86,6.21,1.24,2.90,2.61,4.59,2.06,1.84,1.27,97,6.48,1.40,23,5
051,stur wie ein Bock sein,to be as stubborn as a goat/buck,to be very stubborn,U,-1.55,0.85,3.90,1.72,4.79,1.76,4.77,1.76,3.69,1.94,2.76,2.08,93,6.38,1.29,18,5
052a,dumm wie Bohnenstroh sein,to be dumb as bean straw,to be very stupid,U,-2.06,0.81,3.58,2.05,4.26,1.72,3.97,2.32,4.80,1.86,1.93,1.36,96,5.93,1.76,22,4
052b,dumm wie Brot sein,to be dumb as bread,to be very stupid,U,-2.19,0.75,3.77,1.98,5.28,1.65,4.38,2.17,4.34,2.07,2.26,1.67,100,5.76,1.68,15,4
053,Böses im Schilde führen,to carry evilness in the shield,to have evil intentions,U,-2.13,0.91,4.06,1.69,5.10,1.52,4.13,2.30,4.44,1.85,2.39,1.63,96,5.57,1.86,20,4
054,mit jemandem unter einer Decke stecken,to hide with someone under a blanket,to secretly work with someone together ,A,-0.87,0.99,3.48,1.59,5.55,1.45,4.03,2.11,5.09,1.59,4.06,2.26,100,6.10,1.21,33,6
055,jemandem einen Denkzettel verpassen,to give someone a think-note,to avenge; to do something so that the other person thinks about what he/she has done; to retaliate upon someone for something,U,-1.29,1.01,4.52,1.63,5.03,1.81,4.52,1.96,4.50,1.67,2.77,2.08,90,5.45,1.90,32,4
056,wie vom Blitz getroffen sein ,to be hit like lightening,to experience something shocking; to experience something unexpected; to be very much in love,A,-0.77,1.09,4.90,1.66,5.03,1.78,4.77,2.09,4.61,1.78,4.07,2.24,83,6.07,1.58,24,6
057,die Kirche im Dorf lassen,to leave the church in the village,to not exagerate something by taking it out of context,U,-0.31,0.97,3.71,1.94,5.00,1.55,2.42,2.00,5.39,1.48,2.03,1.52,86,5.79,1.77,21,5
058,einen guten Draht zu jemandem haben,to have a good wire to someone,to get along well with someone; to be on good terms with someone; to have good connections to someone,U,1.87,0.81,3.65,1.56,5.97,1.35,4.68,1.83,5.13,1.56,2.45,1.80,93,6.19,1.49,30,6
059,mit jemandem auf gutem Fuß stehen,to stand on a good foot with someone,"to get along with someone; it need not necessarily be ""very well"" in the sense of friends",U,1.43,1.14,3.10,1.72,3.93,1.74,3.47,2.22,5.27,1.34,2.71,2.12,93,6.39,1.05,28,6
060,jemandem die Daumen drücken,to press the thumbs for someone,to wish someone good luck,A,1.68,0.83,3.71,1.83,6.24,1.43,2.81,2.35,4.31,2.18,4.43,2.19,100,5.60,2.02,24,4
061,Das klingt spanisch für jemanden,this sounds Spanish to someone,not to understand something,A,-0.71,0.78,3.21,1.92,4.18,1.72,3.06,2.16,4.56,1.63,4.45,2.26,100,6.14,1.53,28,5
062,den Karren in den Dreck fahren,to drive the cart/wagon in the mud ,"to ruin things, to make a mess of things",A,-1.94,0.96,4.38,1.66,4.38,1.99,4.58,1.93,4.32,1.70,4.16,2.34,89,5.85,1.81,25,6
063,den Karren aus dem Dreck ziehen,to pull the cart/wagon out of the mud,to solve a mess/a problem,A,0.93,1.64,4.00,1.78,4.39,1.85,5.06,2.02,4.91,1.53,3.48,2.41,96,5.68,1.83,26,6
064,die Suppe auslöffeln können,(to be able) to spoon the soup out,to have to solve a problem oneself,A,-0.48,1.50,3.39,1.82,4.79,1.93,3.39,2.12,4.41,1.86,4.27,2.24,88,4.15,2.11,24,4
065,jemanden für dumm verkaufen,to sell someone for dumb,to kid someone thinking that they won't realise; to try to trick someone,U,-1.68,0.70,3.94,1.81,5.23,1.74,4.10,2.01,4.66,1.73,2.06,1.41,85,6.65,0.84,24,4
066,sich dumm und dämlich reden,to speak oneself dumb and daffy,"to talk way too much, more than one wishes; to try unsuccessfully to convince someone of something",U,-1.55,0.83,3.58,1.86,4.52,1.82,3.93,2.07,4.52,1.75,3.38,2.27,79,6.47,0.84,23,5
067a,jemanden wie ein rohes Ei behandeln,to handle someone as a raw egg,to treat someone very cautiously,U,-0.42,0.81,3.69,1.97,4.18,2.02,5.38,1.84,4.06,1.73,3.83,2.38,93,6.62,0.86,30,6
067b,jemanden mit Samthandschuhen anfassen,to touch someone with velvet gloves,to treat someone very cautiously,A,-0.10,1.14,2.97,1.69,4.66,2.02,4.57,1.91,4.38,1.72,5.10,2.09,100,6.20,1.38,34,4
068,sich nicht um ungelegte Eier sorgen,not to worry about unlaid eggs,to not worry about things yet to come,U,0.34,1.23,2.93,1.81,3.77,1.77,4.57,2.05,4.67,1.63,2.15,1.68,96,6.62,1.05,30,6
069,sich etwas selbst einbrocken,to bring something onto oneself,to put oneself into trouble,U,-1.13,0.76,3.61,1.94,5.20,1.71,3.74,2.34,4.88,1.52,2.55,1.90,93,6.07,1.65,25,4
070,einen Vogel haben,to have a bird (in the head),to be crazy,A,-1.39,0.99,4.00,1.98,6.00,1.44,1.87,1.84,5.78,1.48,2.68,2.18,97,6.15,1.51,15,3
071,etwas unter Dach und Fach bringen,to bring something under roof and shed,to conclude something; to manage something well,U,1.45,0.96,2.87,1.63,4.83,1.83,4.10,2.13,5.13,1.60,2.66,2.11,89,6.32,1.19,28,6
072,seine Schäfchen ins Trockene bringen,to take one's little sheep to a dry place (in the dry),to make one's own things safe; to take care of one's own things,A,1.10,1.32,3.13,1.57,4.55,1.59,4.23,2.11,5.09,1.67,3.19,2.18,82,6.57,0.74,32,5
073,in Fahrt kommen,to come in drive,to (really) get going; to get excited about something; to work oneself up; to get in the mood for sex,U,1.03,0.95,3.13,1.50,5.57,1.36,4.81,1.94,3.47,1.59,3.32,2.01,79,6.77,0.50,13,3
074,eine falsche Fährte verfolgen,to follow a (wrong) trail,to do something the wrong way (particularly in connection with the police); to follow an advice/decision that does not get one anywhere ,A,-1.45,0.77,3.06,1.63,4.17,1.93,5.50,2.02,3.63,1.68,3.33,2.23,92,5.94,1.44,26,4
075,eine falsche Fährte legen,to lay/place a wrong trail,to purposely give wrong advice/information so that the other person does something the wrong way,A,-1.13,0.62,3.74,1.57,3.93,2.11,5.09,2.02,3.90,1.64,3.32,2.21,92,6.24,1.53,22,4
076,jemanden auf die falsche Fährte locken,to bring someone on the wrong trail,to entice someone to believe the wrong/false lead,A,-1.45,0.85,3.63,1.56,4.68,1.70,5.40,1.96,3.91,1.82,3.00,2.08,79,5.71,1.60,33,6
077,jemanden auf die richtige Spur bringen/führen,to take/lead someone to the right track,to help someone to find the right answer/informatio/path,A,1.38,0.87,3.23,1.73,4.37,1.88,5.13,2.01,4.19,1.86,3.29,1.80,93,6.03,1.50,40,6
078,jemanden hinters Licht führen,to lead someone behind the light,to deceive someone; to pretend something; to simulate something,U,-1.77,0.80,4.16,1.61,5.10,1.79,3.03,2.51,5.19,1.65,3.29,2.21,97,5.86,1.68,26,4
079,Farbe bekennen,to avow/confess/declare colour,to tell/admit the truth; to tell one's own opinion,U,0.84,0.82,3.74,1.86,4.93,1.64,2.72,2.22,5.44,1.48,2.31,1.83,92,6.30,1.15,13,2
080,ins Fettnäpfchen treten,to step into the grease bowl,to embarrass oneself; to say something inappropriate unintentionally; to cause an unpleasant/embarrassing situation unintentionally,A,-1.48,0.72,4.26,1.98,5.63,1.56,3.10,2.34,5.69,1.38,3.97,2.39,85,6.50,1.23,21,3
081,wie Gott in Frankreich leben,to live like God in France,to live very wealthily; to have a lot of money and show it,U,2.22,1.04,4.38,1.95,4.43,2.03,3.23,2.26,5.47,1.72,2.18,1.70,100,6.65,0.75,24,5
082,kalte Füße bekommen,to get cold feet,"to get anxious about something and most likely do not get through with the planned thing, e.g., particularly wedding; to cancel something one has planned because of fear/anxiety",A,-1.29,0.64,3.74,1.98,5.41,1.59,2.97,2.11,4.59,1.86,4.71,2.44,97,5.93,1.22,17,3
083,Fuß fassen,to grap/grasp/size foot,to become established; to settle down,A,1.35,0.61,3.13,1.65,5.17,1.65,3.07,2.33,4.81,1.80,3.58,2.23,90,5.62,1.95,9,2
084,jemanden auf freien Fuß setzen,to set someone on free foot,to release someone (from prison); to set someone free (from prison),U,0.84,1.10,2.97,1.52,4.90,1.63,4.22,2.04,4.19,1.69,3.34,1.97,96,6.07,1.07,26,5
085,weder Hand noch Fuß haben,to have neither hand nor foot,to make no sense at all; something has no logic,A,-1.26,0.86,3.48,1.96,5.28,1.60,3.47,1.90,5.42,1.46,3.07,2.00,83,6.66,0.77,21,5
086,weder Fleisch noch Fisch sein,to be neither meat nor fish,not to be consequent; something is not clear; boring; to have no clear identity; not to belong to/be assigned a category,A,-0.81,0.88,2.97,1.80,3.96,1.97,3.20,1.94,4.93,1.70,2.89,2.08,55,5.59,1.55,25,5
087,keinen Fußbreit weichen,not to yield a foot's width/to not give an inch,to not move; to not change my position (also in the sense of opinion/ideas),A,0.00,1.13,3.29,1.66,3.81,1.82,5.84,1.49,3.59,1.78,3.96,2.15,79,6.64,0.91,21,3
088,auf eigenen Füßen stehen,to stand on one's own feet,to be independent,A,2.13,0.96,3.45,1.82,5.48,1.88,4.88,1.88,3.81,1.60,4.48,2.34,97,5.89,1.40,21,4
089,etwas mit den Füßen treten,to step on something with feet,to treat/look/perceive something with contempt,A,-1.81,0.75,4.68,1.60,4.90,1.74,5.06,2.12,3.59,1.64,4.87,2.38,85,6.47,1.19,22,5
090,sich jemandem zu Füßen werfen,to throw oneself at someone's feet,to try to please someone by subjugating oneself ,A,-0.65,1.31,4.71,1.72,3.79,1.89,5.16,1.77,4.16,1.72,4.30,2.53,93,5.92,1.89,25,5
091,jemandem in den Hintern kriechen,to crawl into someone's ass/back,to please someone in order to get favours (negative connotation); to kiss-ass; to flatter someone,U,-2.06,0.85,4.76,1.68,5.47,1.41,3.41,2.41,5.09,1.84,3.03,2.06,93,6.31,1.23,28,5
092,aufs Ganze gehen,to go on the whole,to risk a lot,U,0.87,0.88,4.35,1.82,5.55,1.74,4.16,2.38,4.44,1.74,2.10,1.51,90,6.38,1.12,14,3
093,Geld wie Heu haben,to have as much money as hay,to have a lot of money,U,1.23,1.65,3.74,2.00,4.76,2.01,4.87,2.17,4.38,1.58,3.16,2.21,97,5.96,1.51,15,4
094,Geld zum Fenster hinauswerfen,to throw money out of the window,to waste money,A,-1.71,0.86,3.90,1.64,5.93,1.17,5.91,1.63,4.34,1.72,4.26,2.42,97,5.97,1.74,26,4
095,Schnee von gestern sein,to be yesterday's snow,to be no longer relevant/important,A,-0.97,0.90,2.81,1.78,5.13,1.85,3.56,2.08,5.00,1.52,2.45,2.01,97,6.38,0.82,20,4
096,kalter Kaffee sein,to be cold coffee,to be already known/old news,A,-0.97,0.57,2.73,1.91,4.07,1.81,2.53,1.81,4.97,1.90,3.67,2.40,90,5.97,1.54,16,3
097,nicht von gestern sein,to not be born yesterday,to not be old-fashioned; to be up to date,A,1.13,0.88,2.90,1.80,4.57,1.77,4.48,2.10,4.63,1.91,1.71,1.37,93,6.50,1.07,19,4
098,jemanden aufs Glatteis führen,to lead someone on glaze ice,to lead someone into trouble withouth him/her realising that,A,-1.65,0.71,3.48,1.59,4.62,1.86,4.94,1.98,5.16,1.46,3.77,2.18,95,6.40,1.16,26,4
099,ins Gras beißen,to bite into the grass,to die,A,-2.35,1.02,4.84,2.00,4.70,1.70,2.75,2.14,5.66,1.38,4.65,2.36,100,5.94,1.55,13,3
100,aus dem Gröbsten heraus sein,to be out of the roughest,to have overcome the worst,U,1.30,1.09,3.65,1.74,5.48,1.35,4.00,2.05,4.41,1.92,1.94,1.44,94,5.81,1.47,24,5
101,ein Haar in der Suppe finden,to find a hair in the soup,to find a little mistake; to find something tiny to complain/moan about,A,-1.19,0.70,3.52,1.65,4.29,1.76,3.87,2.19,5.06,1.79,4.26,2.08,100,6.17,1.44,23,6
102,sich keine grauen Haare wegen etwas wachsen lassen,to not let oneself grow grey hair because of something,to not let oneself continuously worry about something,U,0.77,1.07,2.87,1.41,4.21,2.08,4.03,2.26,4.48,1.71,3.60,2.37,100,5.81,1.45,43,8
103,jemandem bis aufs Haar gleichen,"to resemble someone ""(up) to the hair""",to look identical to someone,A,0.41,0.95,2.73,1.76,4.10,2.07,5.84,1.53,3.25,1.55,4.42,2.33,97,6.10,1.45,27,5
104,an den Haaren herbeigezogen sein,to be pulled over by the hair,a lie; an allegation that cannot be proven right; there is no evidence to prove an accusation/to prove someone guilty; one is aware that the other person is not telling the truth,A,-1.13,1.06,3.71,1.70,5.21,1.78,3.43,2.31,5.31,1.62,2.87,2.29,93,5.68,1.44,28,5
105,kein gutes Haar an etwas lassen,not to leave a good hair at someone/something,to have nothing good to say about someone/something,U,-1.43,1.01,3.87,1.89,5.07,1.78,3.47,1.90,5.16,1.71,2.58,1.71,97,6.61,1.07,26,6
106,sich in den Haaren liegen,to lie oneself in the hair,to fight; to argue,U,-1.53,0.63,4.00,1.51,4.55,1.96,3.03,2.27,5.38,1.48,3.24,1.98,100,6.00,1.54,21,5
107,Danach kräht kein Hahn mehr,No rooster crows about that anymore,No one is any longer interested in that,U,-1.27,1.11,2.65,1.60,4.13,2.06,3.23,2.19,5.29,1.60,3.42,2.42,96,6.13,1.56,23,5
108,Die Sache hat einen Haken,The thing has a hook,there's a catch,A,-1.26,0.73,3.65,1.87,5.53,1.70,3.52,2.16,5.13,1.54,1.93,1.53,86,6.50,1.16,21,5
109,etwas in den falschen Hals kriegen,to get something in the wrong pipe (throat),to misunderstand something; to understand/interpret something wrongly and then act unpleasantly according to the misinterpretation,U,-1.35,0.75,4.19,1.82,5.31,1.75,4.25,2.26,4.97,1.62,3.50,1.99,100,6.50,0.95,29,6
110,auf der Hand liegen,to lie on the hand,to be obvious,A,0.61,0.95,2.26,1.24,5.40,1.71,3.30,2.37,4.48,1.86,4.28,2.36,93,6.17,1.44,16,4
111,für jmdn die Hand ins Feuer legen,to put the hand in the fire for someone/something,to warrant for someone else's reliability,A,1.59,1.02,4.74,1.55,5.50,1.36,4.41,2.05,5.16,1.67,4.26,2.35,97,6.17,1.44,27,7
112,sich mit Händen und Füßen gegen etwas wehren,to resist something/to defend oneself against something with hands and feet,to oppose something with all one's strenght,A,-1.13,1.48,5.03,1.69,5.24,1.64,5.81,1.93,3.50,1.68,5.10,2.26,90,6.29,1.13,37,8
113,ich möchte nicht in ihrer Haut stecken,I wouldn't like to be in her skin,to not wish to be in someone else's situation,U,-1.68,0.91,4.30,1.90,5.76,1.38,5.19,1.96,4.45,1.79,3.61,2.40,97,5.76,1.70,32,7
114,ein Herz und eine Seele sein,to be a heart and a soul,to be emotionally very close/cnnected to someone; to be tightly connect to someone,U,2.10,1.06,4.19,1.92,5.41,1.40,4.77,2.22,4.59,1.74,2.14,1.67,79,4.81,2.33,23,6
115,etwas auf dem Herzen haben,to have something on the heart,to have something important to say that you really want/should say,U,-0.42,1.39,4.71,1.60,5.59,1.57,3.81,2.07,4.44,1.92,3.00,2.02,97,6.75,0.65,22,5
116,jemandem rutscht das Herz in die Hose,someone's heart falls/slides into the trousers,to be  scared,U,-1.23,0.76,5.10,1.58,4.48,1.99,3.58,2.28,5.16,1.79,3.23,2.14,97,6.52,1.30,31,7
