imageID,color,imageDBName,infantAge,infantEthnicity,infantGender,infantOldYoung,imageCat,agreement,rating.m,rating.sd,intensity.m,intensity.sd,clarity.m,clarity.sd,genuineness.m,genuineness.sd,internalEmo.m,internalEmo.sd,strength.m,strength.sd
45,bw,B13,11,1,M,2,3,1,3,0,3.8292683,0.9461088,3.9512195,1.0712427,4.1219512,0.9538114,2.7073171,0.5120499,3.4193548,0.8475138
46,bw,B14,6,1,M,1,1,1,1,0,3.4193548,0.7648178,3.4516129,1.0275768,3.4193548,1.1187551,1.3666667,0.5560534,2.4761905,1.1233453
47,bw,B14,6,1,M,1,2,0.7906977,1.8837209,0.4477086,3.1395349,1.1460366,3.1395349,1.1868605,3.8604651,1.0369689,2.1162791,0.5859182,2.8,1.2071217
48,bw,B14,6,1,M,1,3,1,3,0,2.8181818,1.0141051,3.3636364,1.0844982,3.7878788,0.8929437,2.8181818,0.3916747,2.7777778,0.9740215
49,bw,B15,5,1,M,1,1,1,1,0,4.2,0.8331372,4.2571429,1.0387452,4.1176471,1.1218142,1.1818182,0.4646602,3.137931,1.1564767
52,bw,B15,5,1,M,1,3,0.9756098,2.9756098,0.1561738,3.5609756,0.807737,3.4878049,0.8695387,3.8780488,1.0534496,2.8947368,0.388307,3.1388889,0.8333333
53,bw,B16,10,1,M,2,2,0.7804878,1.9268293,0.4685213,2.5365854,1.1423126,2.5853659,1.1613701,3.35,1.0265701,1.975,0.4229021,2.4285714,0.9759001
55,bw,B16,10,1,M,2,3,0.9411765,2.9117647,0.3788057,3.5882353,0.8208513,3.9411765,0.8856149,3.9117647,0.9959812,2.7941176,0.4104256,2.8461538,1.1896994
57,bw,B17,1,1,M,1,1,0.9677419,1.0322581,0.1796053,3.6451613,0.7978466,3.4516129,1.1206757,3.7419355,0.9297936,1.4193548,0.5641627,2.7368421,0.9911893
58,bw,B18,9,1,M,2,1,0.9393939,1.0606061,0.2423058,2.7272727,0.8758113,2.7878788,0.9603898,3.03125,1.2309025,1.5,0.5679618,2.15,1.0894228
6,bw,B2,5,1,M,1,3,1,3,0,3.8809524,0.8025077,3.8571429,0.8715399,4.047619,0.8540401,2.8095238,0.3974366,3.4285714,0.9482403
60,bw,B18,9,1,M,2,2,0.8787879,2.0606061,0.3481553,2.9333333,0.827682,2.7333333,1.1426929,3.3461538,0.7452413,2,0.2948839,2.5,2.1213203
61,bw,B18,9,1,M,2,3,1,3,0,2.9032258,0.9075549,3,1.0645813,3.8387097,0.934408,2.5806452,0.5016103,2.7894737,1.0316625
63,bw,B19,10,1,M,2,1,1,1,0,4.0606061,0.7044233,4.1212121,0.9603898,4,1.118034,1.2121212,0.4846117,2.7037037,1.2345916
65,bw,B19,10,1,M,2,3,0.9047619,2.9047619,0.2971018,3.1190476,0.9422956,3.2619048,1.03734,3.5238095,1.0415302,2.5238095,0.5054867,2.7142857,1.1019463
67,bw,B20,9,1,M,2,1,0.8809524,1.1428571,0.4173919,2.5238095,1.0415302,2.8333333,1.2477622,3.0952381,1.3030831,1.6341463,0.6227398,2,1.0760552
7,bw,B3,6,1,M,1,1,0.8285714,1.1714286,0.3823853,2.8857143,0.9932546,2.6285714,1.1137038,3.6571429,1.1867617,1.6857143,0.6761234,2.2777778,1.1785113
70,bw,B20,9,1,M,2,3,1,3,0,3.5897436,0.88013,3.6410256,0.902837,3.8717949,0.9781693,2.8717949,0.3386884,3.1515152,1.0037807
71,bw,B21,3,1,M,1,1,0.969697,1.030303,0.1740777,3.4848485,1.1758298,3.030303,1.33428,3.5757576,1.1464702,1.3636364,0.5487589,2.5416667,1.2846643
72,bw,B21,3,1,M,1,2,0.8064516,2.1935484,0.4016097,2.8709677,0.9913605,2.9354839,1.0625593,3.7741935,0.9902753,2.3870968,0.4951376,2.4166667,0.9962049
73,bw,B21,3,1,M,1,3,0.7647059,2.7647059,0.4305615,2.7941176,0.9138467,2.8787879,0.8929437,3.7878788,1.0234005,2.6363636,0.4885042,2.45,0.7591547
76,bw,B22,7,1,M,2,3,1,3,0,3.6190476,0.7948732,3.8333333,0.8530195,4.1463415,0.8234372,2.804878,0.4012177,3.0909091,0.9799119
77,bw,B23,11,2,M,2,2,0.8484848,1.8484848,0.3641095,2.8484848,1.0344447,2.8484848,1.0344447,3.969697,0.918043,1.9393939,0.4961977,2.375,1.407886
78,bw,B23,11,2,M,2,2,0.8571429,1.9047619,0.3702026,2.6666667,1.2230842,2.9761905,1.1579649,3.6428571,1.122311,2.1190476,0.3952388,1.5714286,0.7867958
79,bw,B23,11,2,M,2,3,0.9354839,2.9354839,0.249731,2.9354839,0.9638632,3.2580645,1.0635708,3.9032258,1.0117588,2.7096774,0.5287437,2.962963,1.0554431
81,bw,B24,2,4,M,1,2,0.8484848,1.9090909,0.3843531,2.6666667,1.0507934,2.969697,1.1315048,3.7272727,1.0975179,2,0.6123724,1.6923077,0.7510676
83,bw,B24,2,4,M,1,3,1,3,0,3.675,0.944281,3.725,0.9333562,4.15,0.8929927,2.85,0.4266747,2.7714286,1.2622509
84,bw,B25,5,1,M,1,1,1,1,0,4.5151515,0.7550336,4.5151515,0.7124435,4.3333333,0.9574271,1.15625,0.368902,3.4444444,1.3397283
86,bw,B25,5,1,M,1,2,0.8235294,1.8235294,0.386953,2.6470588,1.3680854,2.6470588,1.3457532,3.4848485,1.1758298,1.875,0.5535807,1.8,0.7888106
87,bw,B26,10,1,M,2,1,0.9761905,1.0238095,0.1543033,4.1666667,0.7937766,4.4047619,0.8281488,4.0714286,1.197413,1.1904762,0.5054867,3.1351351,1.1823273
9,bw,B3,6,1,M,1,3,0.969697,2.9393939,0.3481553,3.5151515,0.7124435,3.7575758,0.9024378,3.9393939,0.8638357,2.6969697,0.5294365,2.92,1.077033
90,bw,B26,10,1,M,2,3,0.974359,2.9487179,0.3202563,4.3076923,0.7997975,4.3333333,0.7374684,4.2564103,0.8497042,2.8974359,0.3073547,3.6571429,0.8023076
91,bw,B27,5,1,M,1,1,0.9722222,1.0277778,0.1666667,3.1111111,1.1408713,3.1388889,1.2224747,3.1714286,1.2944614,1.5,0.5606119,2.4285714,1.0757057
94,bw,B27,5,1,M,1,3,1,3,0,2.4545455,0.7537784,3.2727273,1.0975179,3.8484848,0.939455,2.9090909,0.3843531,2.5357143,1.0357371
95,bw,B28,7,1,M,2,1,0.9393939,1.0606061,0.2423058,4,0.8291562,4.0909091,0.7650015,3.6363636,1.1677484,1.3333333,0.4787136,2.7619048,1.1791845
96,bw,B28,7,1,M,2,2,0.9375,1.9375,0.2459347,2.9354839,1.0625593,3.4193548,1.1768374,3.9354839,1.0934802,1.96875,0.4741291,2.6666667,1.3662601
97,bw,B28,7,1,M,2,3,1,3,0,3.8,0.9114654,4.1,0.928191,4.075,1.0225032,2.825,0.3848076,3.3030303,1.1315048
98,bw,B29,11,1,M,2,1,0.974359,1.025641,0.1601282,3.9487179,0.8568215,4,1.123903,3.6410256,1.3076129,1.2051282,0.4690128,2.8181818,1.1846557
